"","response","updated_response"
"1",0,0
"10",0,0
"100",1,1
"1000",0,1
"10000",1,1
"100009676",0,0
"10001",0,0
"10003",0,0
"100037417",0,0
"10004",0,0
"100049587",0,0
"10005",0,0
"10006",0,0
"10007",0,0
"10008",1,1
"10009",0,0
"1001",1,1
"10010",0,0
"100101467",0,0
"10011",1,1
"100113407",0,0
"100125288",0,0
"100127206",0,0
"100127983",0,0
"100128071",0,0
"100128327",0,0
"100128398",0,0
"100128569",0,0
"100128731",0,0
"100128927",1,1
"100129128",0,0
"100129271",0,0
"100129385",0,0
"100129480",0,0
"100129543",0,0
"100129583",0,0
"100129654",0,0
"100129669",0,0
"100129792",0,0
"100129794",0,0
"100129842",0,0
"10013",1,1
"100130015",0,0
"100130274",0,0
"100130311",0,0
"100130348",0,0
"100130449",0,0
"100130519",0,0
"100130613",0,0
"100130733",0,0
"100130742",0,0
"100130771",0,0
"100130776",0,0
"100130827",0,0
"100130933",0,0
"100130958",0,0
"100130967",0,0
"100130988",0,0
"100131094",0,0
"100131137",0,0
"100131187",0,0
"100131211",0,0
"100131244",0,0
"100131378",0,0
"100131390",0,0
"100131439",0,0
"100131755",0,0
"100131801",1,1
"100131827",0,0
"100131897",0,0
"100131902",0,0
"100131980",0,0
"100132247",0,0
"100132386",0,0
"100132396",0,0
"100132399",0,0
"100132463",0,0
"100132476",0,0
"100132916",0,0
"100132963",0,0
"100137047",0,0
"100137049",0,0
"10014",0,0
"100141515",0,0
"10015",0,0
"10016",0,0
"100169851",0,0
"10017",0,0
"100170229",0,0
"100170765",0,0
"10018",0,0
"100188893",0,0
"10019",1,1
"100190949",0,0
"100191040",0,0
"1002",0,0
"10020",1,1
"10021",1,1
"10022",0,0
"10023",0,0
"10024",0,0
"10025",0,0
"10026",0,1
"100271715",0,0
"100271927",0,0
"100272147",0,0
"100287144",0,0
"100287178",0,0
"100287205",0,0
"100287226",0,0
"100287238",0,0
"100287284",0,0
"100287327",0,0
"100287362",0,0
"100287404",0,0
"100287441",0,0
"100287482",0,0
"100287718",0,0
"100287898",0,0
"100287932",0,0
"100288142",0,0
"100288287",0,0
"100288323",0,0
"100288332",0,0
"100288413",0,0
"100288520",0,0
"100288797",0,0
"100288814",0,0
"100289635",0,0
"100289678",0,0
"1003",0,0
"100302736",0,0
"100303755",0,1
"100310812",0,0
"100310846",0,0
"100316904",0,0
"10036",0,0
