,Score,StDev
occ_total_sum,0.043245553914006696,0.006834887497398766
oldest_phylostratum,0.0186229835328909,0.004473154030068456
cds_length,0.013798892937237317,0.004500508398062225
dnase_gene,0.004904881003507211,0.002906061294301238
dnase_cds,6.418906628118393e-05,0.00030132895701791653
H3k4me1_gene,0.001170373672363123,0.0017042414844779833
H3k4me3_gene,0.0001433486118644134,0.0006481338511216974
H3k27ac_gene,9.37536720536647e-05,0.00041623459477133426
H3k4me1_cds,0.004874689143015332,0.002554814895928661
H3k4me3_cds,0.0,0.0
H3k27ac_cds,0.0002930534048849687,0.00030926657654073853
lamin_gene,-0.0006289273986115895,0.00038224938966342043
repli_gene,0.00013590518919466278,0.0010258332319986218
nsome_gene,0.00149976603398968,0.0016476545810113633
nsome_cds,-8.045587200321558e-05,0.00035482984796323595
transcription_gene,-0.00018014755540022299,0.0020594164042910213
repeat_gene,0.0005460879586747791,0.0007916942475323946
repeat_cds,0.006256573106746643,0.0016736598212307556
recomb_gene,9.258279657753388e-05,0.00042137273729198895
AAA_freq,0.001389703739232684,0.0003893089114037613
AAC_freq,0.0,0.0
AAG_freq,0.0006171768268689037,0.0005928535313343779
AAT_freq,-0.00014171774959407247,0.0004045969799145568
ACA_freq,-0.00033599944467050947,0.0007215083883849827
ACC_freq,-0.00035678248437196467,0.0008537417371562849
ACG_freq,0.0009407148111148067,0.0011787905773583403
ACT_freq,-0.00025311818775237694,0.0004569872158422968
AGA_freq,0.0028592779127304844,0.001346907936679071
AGC_freq,-0.0002935133916792121,0.0005640462389646881
AGG_freq,0.001101375653233494,0.0014734441287330723
AGT_freq,0.0017795216388242108,0.0010015923406489352
ATA_freq,-0.00022071002725210231,0.0005372694447009338
ATC_freq,0.0,0.0
ATG_freq,0.001722065106530879,0.0007681843531360037
ATT_freq,0.0004956566792382544,0.0008528838399949613
CAA_freq,0.0016637304176303602,0.0003996873634371459
CAC_freq,0.0,0.0
CAG_freq,-5.31075662388858e-06,0.0013202887237557604
CAT_freq,-0.00028698994259782615,0.0006772372130251032
CCA_freq,0.0002182428253559965,0.0007270109066299638
CCC_freq,0.0011687428100928044,0.0006664915431993963
CCG_freq,0.0,0.0
CCT_freq,-0.0010447554605659715,0.000480569263686827
CGA_freq,0.0022733383708856804,0.0008944992692380679
CGC_freq,0.0006685280798938154,0.0004640272368041485
CGG_freq,0.0010112182415708438,0.000999447177530184
CGT_freq,0.00036740399761975295,0.0004413124248506379
CTA_freq,0.0024641074395336804,0.001033410329700859
CTC_freq,-0.0002456747650826818,0.0006792181611873322
CTG_freq,0.002130031576002567,0.0013547395230014767
CTT_freq,0.0,0.0
GAA_freq,0.00036159143722036546,0.0005413008523675844
GAC_freq,0.0010479335511440647,0.0006254289812955225
GAG_freq,0.0007956935199987525,0.0006441222567996427
GAT_freq,0.0007546292443713076,0.0007806306705470716
GCA_freq,0.0,0.0
GCC_freq,-0.00012356917971392267,0.0002958991727841629
GCG_freq,0.0008092422219369233,0.0005268410531679143
GCT_freq,0.000454968756442431,0.000690040430463046
GGA_freq,0.001524312602007305,0.0011564541601634558
GGC_freq,0.0026744050384444164,0.0013465455523825635
GGG_freq,6.105279268420194e-06,0.0004548555982254979
GGT_freq,0.0,0.0
GTA_freq,-0.0002522400311453121,0.001268876371957594
GTC_freq,0.00028669722372874905,0.0003294472362030981
GTG_freq,0.0003755164919901466,0.0007888599013287043
GTT_freq,-0.00032755241444978325,0.0005167931309649257
TAA_freq,0.0007198375159374714,0.0009419753797823282
TAC_freq,0.002633466213760893,0.0006319319951745451
TAG_freq,0.0013301145408934566,0.0010214158498350159
TAT_freq,0.000288119001092646,0.0005112960780485896
TCA_freq,0.00025980890475890694,0.0007280753411639095
TCC_freq,-0.000549391500196772,0.0006406895906259952
TCG_freq,0.0011254204174756311,0.0005961978012711126
TCT_freq,0.002177201130898432,0.0018271009011568003
TGA_freq,0.00020343961397906174,0.0003010980188475543
TGC_freq,0.0010057820340030777,0.0009519350249938873
TGG_freq,0.0033398386617227494,0.0013902178515736124
TGT_freq,0.0007747850293534309,0.0013251335662322105
TTA_freq,0.001332038122032797,0.0008670800470380075
TTC_freq,0.0,0.0
TTG_freq,0.0008861436505304687,0.0009923432832388186
