,Score,StDev
occ_total_sum,0.05709933050963251,0.005715639481391077
oldest_phylostratum,0.012970351140866287,0.004414616771235852
cds_length,0.0068458046788420265,0.0021814698728548115
dnase_gene,-0.00031121434318589494,0.0005599915965185338
dnase_cds,0.0008422522809734545,0.000852205654218024
H3k4me1_gene,0.0016065600079810504,0.0016713265663744427
H3k4me3_gene,-0.00018373574323838905,0.00034011608829251475
H3k27ac_gene,-0.0003371091115317859,0.0004884787108994666
H3k4me1_cds,0.0018341910704255727,0.0021858825550231217
H3k4me3_cds,0.0020750080785605363,0.0008616472498897532
H3k27ac_cds,0.0023220276861484978,0.0014089233941349379
lamin_gene,3.990483564242364e-06,0.0001198212933694464
repli_gene,-9.958858981943264e-05,0.0005062286976517219
nsome_gene,0.00035467591417858156,0.00027086435453371077
nsome_cds,5.79487613235452e-05,0.0004889591570721915
transcription_gene,0.003024092544518886,0.0016071867437708954
repeat_gene,0.0019900801783573007,0.002094969749847822
repeat_cds,0.0010737003276968249,0.001387374402620323
recomb_gene,-0.0001430501608121193,0.0004823820260820258
AAA_freq,0.00020468578195045328,0.0001801642479403793
AAC_freq,-2.4680273348087757e-05,0.00015842079164649425
AAG_freq,0.0006107174846073816,0.000877058987469542
AAT_freq,0.0001973554371423769,0.0003510630067540817
ACA_freq,-0.0003917180116114305,0.0006137191883352502
ACC_freq,-0.00029481866071561224,0.0006550349442337345
ACG_freq,0.0001096515483727134,0.000696818247807541
ACT_freq,-0.0005947121755291995,0.0006089989409070514
AGA_freq,0.0038004584718616895,0.0020227126098189907
AGC_freq,0.00034626119883675034,0.0013590086455528777
AGG_freq,0.00021830547585434125,0.0006108794425210637
AGT_freq,-0.000266581652016773,0.0005690627524334477
ATA_freq,-0.0003555867854268424,0.0003111313033291189
ATC_freq,-0.00027846635306663094,0.00028202280823537017
ATG_freq,0.0006057293801521424,0.0006645462380891899
ATT_freq,-0.000804559561220286,0.0009001735726206113
CAA_freq,0.0016929192772887403,0.0016691792911785568
CAC_freq,-0.0005975749137383191,0.00018179288013355814
CAG_freq,0.0005083962810428222,0.0009794414317614074
CAT_freq,0.0004681878216514779,0.0005324463893989098
CCA_freq,-3.595772689907184e-05,0.0002614224231933952
CCC_freq,-0.0010164021886934437,0.0005240728232335627
CCG_freq,-0.0001325534540454254,0.0004424655384837782
CCT_freq,0.0005027141794460066,0.0004865062351836028
CGA_freq,0.0005437901352644103,0.0002878912760225327
CGC_freq,0.0012789066075034495,0.0004987931047238485
CGG_freq,0.000311257718007274,0.00025757020761109497
CGT_freq,0.0003184579383513686,0.001037970944789617
CTA_freq,-0.00022325020548817908,0.0004104776877313856
CTC_freq,0.00016139771024322735,0.0006554810823760423
CTG_freq,0.0005665185416517838,0.0002822865531156131
CTT_freq,0.0003992218557050564,0.0005360873208553441
GAA_freq,0.0005254425858333578,0.0006379541297804373
GAC_freq,-0.0007187641645900356,0.00043946843499158565
GAG_freq,0.001234642602315783,0.0008440476685640144
GAT_freq,0.00018364899359574194,0.0006976314952754737
GCA_freq,0.0002167006074644262,0.0002278242166464842
GCC_freq,0.00015909884471169145,0.00036916365236400124
GCG_freq,0.00020451228266508137,0.0011975273077823043
GCT_freq,0.001751041537897724,0.0008574629973964823
GGA_freq,5.083529062214209e-05,0.0009598715428564737
GGC_freq,0.00046723357558176026,0.0007972494121150765
GGG_freq,0.00012001813067533674,0.00037780321195985723
GGT_freq,0.0008219094897603197,0.000602053596752342
GTA_freq,-0.0002850593259118517,0.00035617203848689637
GTC_freq,0.0005757573785993176,0.000281460094732002
GTG_freq,-0.00016365320095331758,0.00014960893907606563
GTT_freq,0.00016946542701431477,0.00031868122386170404
TAA_freq,-0.00014799489044599047,0.00040167669176576924
TAC_freq,0.002189235670585632,0.0014481519821920032
TAG_freq,-7.794455396582522e-05,0.0002730404901784922
TAT_freq,-5.11822891927638e-06,0.00014259934131570016
TCA_freq,0.00016044346417353194,0.0008303502391033276
TCC_freq,-0.00021509573907437795,0.00013360493394210188
TCG_freq,0.00021873922406784319,0.00036782928000243694
TCT_freq,0.0018192484444705336,0.0015654283047240145
TGA_freq,-0.0005100445242541052,0.0004943587089001675
TGC_freq,-0.0004055545796220472,0.0004754068795920742
TGG_freq,0.0007112169456752304,0.0013156506238629613
TGT_freq,0.00010297182588483444,0.00030703597014635316
TTA_freq,0.0007660427198615816,0.000888592441132079
TTC_freq,0.001102110835681025,0.000470494804646567
TTG_freq,0.0012978180296120078,0.0007127172531235068
