,Score,StDev
occ_total_sum,0.05688681557242835,0.004145892003158827
oldest_phylostratum,0.024079445322784564,0.004927343278770301
cds_length,0.008772253994278856,0.0018588410435987311
dnase_gene,3.144674547870263e-05,0.00041521641722145296
dnase_cds,0.0010390004706167689,0.0005111640601636536
H3k4me1_gene,-0.0018268173507960729,0.0013225602987651493
H3k4me3_gene,-0.0008559587245200118,0.0003402373739442311
H3k27ac_gene,-0.0007650450989705071,0.0003601843075553742
H3k4me1_cds,-0.001655920554677237,0.0010838699430308942
H3k4me3_cds,0.0008150996428083368,0.00036630624971761686
H3k27ac_cds,-0.0002398193872439336,9.192483716832285e-05
lamin_gene,-0.00027278425146988196,0.0012001715164189138
repli_gene,0.00017523427825382186,0.0001311973272049271
nsome_gene,0.003594081071878574,0.00211066995798363
nsome_cds,0.005180211539003721,0.0015649919310161044
transcription_gene,9.637885303958038e-05,0.0004274084467281891
repeat_gene,0.0007119543176381082,0.0003829380782683173
repeat_cds,0.0005046226715853863,0.0036045580844715703
recomb_gene,6.549598023852799e-06,3.910715843457701e-06
AAA_freq,0.0011184631433299509,0.0004421216710535445
AAC_freq,0.0006325783945677621,0.0008362485170862547
AAG_freq,-0.0006936501430285125,0.0008413728350314374
AAT_freq,-0.00022090796513531962,0.00024617632343876435
ACA_freq,0.00046879506915028515,0.0004976540448956531
ACC_freq,0.00015033713079891652,0.0005971806968357192
ACG_freq,-7.833492735800362e-05,0.00040320531226291053
ACT_freq,0.001592723439970334,0.0006663408278617889
AGA_freq,0.004072331852083189,0.0014114908251998844
AGC_freq,0.0005870782069716252,0.0005579619830356324
AGG_freq,0.00012574360709352028,0.000247780689529813
AGT_freq,0.0003961422433891082,0.0002486479973063554
ATA_freq,0.00011949763281908777,0.0001097563408006809
ATC_freq,-0.0003606182647035383,0.00035402220958608737
ATG_freq,-0.0004220803865564116,0.0006092091926716925
ATT_freq,8.310615770651397e-05,0.0003547751870921598
CAA_freq,0.00031008659783080537,0.0011750583895650268
CAC_freq,-6.905271558913518e-05,0.00011274313444063134
CAG_freq,0.00016100733685097123,0.0003157233432663738
CAT_freq,-0.0001720245414739363,6.72100379836365e-05
CCA_freq,0.002286547082284196,0.001146369682511762
CCC_freq,8.180491306601923e-05,0.00033443046017257196
CCG_freq,-5.244015901211263e-05,3.0884852627740286e-05
CCT_freq,3.7475845646295355e-05,0.00020000940505108915
CGA_freq,0.002165227706968398,0.0010258912661452008
CGC_freq,0.00014751776741118717,0.00019035908493212852
CGG_freq,-0.0002256791954838411,0.00042393379907903784
CGT_freq,0.0006723531057456378,0.000848480477859356
CTA_freq,0.0008417751579385735,0.0008804884474723609
CTC_freq,0.0007307789901040307,0.0011054762082279947
CTG_freq,-1.3706443546612767e-05,5.411300583855687e-05
CTT_freq,-0.00021010763461919434,0.00047037205804257735
GAA_freq,-0.00030366712427104536,0.0003303413095639091
GAC_freq,3.140337065733467e-05,2.81857585792488e-05
GAG_freq,0.0006116283558557312,0.0019764486428927143
GAT_freq,0.00026237429434587954,0.0005414396597830687
GCA_freq,-5.209316044131329e-05,3.5165425860385746e-05
GCC_freq,0.00044467866847972546,0.00021578586078260036
GCG_freq,0.00025604157042876665,0.0005187776254439889
GCT_freq,6.189587006635299e-05,0.00019545428470112784
GGA_freq,0.0003749753305703485,0.00034715518633419415
GGC_freq,0.0005306475643953257,0.0004313260890937985
GGG_freq,-0.00024966547169035235,0.0004861847408386902
GGT_freq,0.00011481315211331333,0.0006204687174691684
GTA_freq,0.00042719861547569905,0.0014436587358006966
GTC_freq,-8.280253395706038e-05,0.00011042780595910809
GTG_freq,0.0008609034541538829,0.0006976774095426089
GTT_freq,-3.7519220467718827e-05,2.0513355839835847e-05
TAA_freq,0.0011350756999069511,0.0004464889772203778
TAC_freq,0.0023061958763557324,0.0014773989002006378
TAG_freq,0.004296059180606227,0.0017887896777793143
TAT_freq,-0.00014005729813899582,0.00018969753357435246
TCA_freq,-0.00017432340700551663,0.0003420040411995292
TCC_freq,-9.247511911809614e-05,9.808634447347081e-05
TCG_freq,0.0024179727909745654,0.0011203917391744073
TCT_freq,0.0024819506524657474,0.002248432136391773
TGA_freq,-8.002654539069897e-05,0.0005171301569058237
TGC_freq,8.059041806820488e-05,0.0001488618307845151
TGG_freq,0.005076762590084061,0.0021860442746594664
TGT_freq,0.0007317332361737372,0.00047976419126460846
TTA_freq,0.004154917511933498,0.0016891143696834462
TTC_freq,-3.6044476541796654e-05,4.817552583227723e-05
TTG_freq,0.003734181744838916,0.0015193033774941733
