,Score,StDev
occ_total_sum,0.01860535799574483,0.003859601627480622
oldest_phylostratum,0.008163163789792793,0.0013101392500860752
cds_length,0.00843700322865798,0.0038857382709495663
dnase_gene,0.0010270243610025931,0.00028830171532049303
dnase_cds,0.00021077543016100319,0.0006635427205432498
H3k4me1_gene,0.0015661879113545107,0.0005384569995964563
H3k4me3_gene,-0.00023202159352131435,0.0004943267664219799
H3k27ac_gene,-0.0004699027440010717,0.00029267678781088685
H3k4me1_cds,0.001269078864999562,0.0014323712696563669
H3k4me3_cds,3.1321228921854516e-05,0.0004783827829763328
H3k27ac_cds,-0.0001918056414466074,0.0007737381789942231
lamin_gene,3.553673752509923e-05,2.9834396614754168e-05
repli_gene,0.0006881396243896721,0.0001524861051549831
nsome_gene,0.00047449764837845796,0.000342445315083331
nsome_cds,-9.413230710998421e-05,0.00019523640573420388
transcription_gene,0.0027372140462432527,0.0005313321025365769
repeat_gene,0.0002316421977469285,0.00040962595129244526
repeat_cds,1.2393595293380689e-05,0.0002250465129725216
recomb_gene,0.00011550493572820564,0.00012127015250090095
AAA_freq,0.0005511777498710124,0.00045740013765321305
AAC_freq,0.00026043412150691394,0.0002697658598469914
AAG_freq,-0.0005597352323357008,0.0005578705656935686
AAT_freq,0.00041712457628863,0.0001960284250667075
ACA_freq,-0.00031527788843495054,0.00020805356045239387
ACC_freq,0.00028007839159791546,0.0002505957443498396
ACG_freq,-0.0004101689870934178,0.0007494713611209352
ACT_freq,0.0003475686843355197,0.00015553721542279378
AGA_freq,0.001146154634129637,0.0007500375835207837
AGC_freq,0.0003820515447098383,0.0004473270840480712
AGG_freq,0.000311779016294178,0.00035215881507385784
AGT_freq,0.0006749872375476529,0.00016321617511402323
ATA_freq,0.0004224782722147324,0.00017556627230697723
ATC_freq,0.00035911917790835133,0.00030517239574843607
ATG_freq,-0.00019677994159841283,0.0006597879639242712
ATT_freq,0.00015685907512578146,0.00018469407511344254
CAA_freq,0.0003208002047050518,0.0003324551712908045
CAC_freq,-6.892356566269297e-05,0.0002044692241439638
CAG_freq,0.00034402765710880303,0.00027674834527931
CAT_freq,-0.0001634774236329628,0.0009955815816612276
CCA_freq,8.894723152785832e-06,0.00017659403539411518
CCC_freq,-0.0002513286229241074,0.0001475418134759797
CCG_freq,-6.73638274795163e-05,0.0002440434207417174
CCT_freq,-0.0002738815939512973,0.0003848445856806674
CGA_freq,0.00013637170331415316,0.000776733633606616
CGC_freq,6.913434109279137e-05,0.0005790608040324852
CGG_freq,-0.00010530340490852997,0.0003450602655239538
CGT_freq,-0.0004189794000742042,0.0008066634388554076
CTA_freq,0.0002764530541991439,0.0005706266600799274
CTC_freq,-0.0007520467348146043,0.00039911717726001433
CTG_freq,0.0006031971260348157,0.000418209662761711
CTT_freq,0.00012347224698829872,0.00023212294961644394
GAA_freq,0.00020997448352636506,0.00030821171308368327
GAC_freq,-0.00023653218772677896,0.00042910798451245216
GAG_freq,0.0002554598213551085,0.0005444869125038864
GAT_freq,-0.00020053174425528343,0.00048539717407856633
GCA_freq,0.00043225825217420023,0.00039621444937605426
GCC_freq,-8.431017206449454e-05,0.00016298019838519457
GCG_freq,0.00042096068911756657,0.00035222123059643144
GCT_freq,0.0005639507409387678,0.00027841803918217135
GGA_freq,-0.0005945974884843275,0.00048772870707176273
GGC_freq,0.0009208778543735363,0.0003405382851246
GGG_freq,-0.00022789039509020227,0.00032002225622819696
GGT_freq,3.5325962094934216e-05,0.00031201181969898323
GTA_freq,-0.00020938431232202513,0.0002221885815415454
GTC_freq,0.0004438509008330649,0.00037154352844794735
GTG_freq,0.0003751381106005591,0.00030292314256078514
GTT_freq,-2.5588137221621564e-05,0.0002150659823844994
TAA_freq,0.00017498576211963935,0.00012855054384734385
TAC_freq,0.0008663291730478639,0.0012305960982231584
TAG_freq,0.000863884178057972,0.0003822068957583106
TAT_freq,0.0005964101571836244,0.0001638211729545136
TCA_freq,-0.00034925488777690636,0.0004391663470654287
TCC_freq,0.00011811855106220736,0.00013268125655145163
TCG_freq,0.000435462038712664,0.00043021383325097243
TCT_freq,0.00032021003350057864,0.000352201856226012
TGA_freq,-0.00021608697100115038,0.0002430422010081473
TGC_freq,0.0007150767243642497,0.00029448217051611364
TGG_freq,0.0023466050190687816,0.000698003965439353
TGT_freq,-0.00034870687165844405,0.0003430952600133609
TTA_freq,0.00033673482722519356,0.0002567224526990668
TTC_freq,0.0003687305375236649,0.0002754461224434594
TTG_freq,0.00013987057545479243,0.00035296384811786926
