,Score,StDev
occ_total_sum,0.03215670455457313,0.002854762244013797
oldest_phylostratum,0.012389974343793176,0.0035512913652772523
cds_length,0.013532423763329627,0.0020228792752679326
dnase_gene,0.0010379594749044042,0.0007418642846438651
dnase_cds,0.000305879240159912,0.0002816909173133394
H3k4me1_gene,-0.0005271775786873323,0.0007972136928891626
H3k4me3_gene,-0.0005844323428693121,0.00042678237509530476
H3k27ac_gene,-0.00018564423537781316,0.00027269912656709925
H3k4me1_cds,-0.0007256607611847321,0.001060214405795774
H3k4me3_cds,0.00041592116192473716,0.00018437936586631587
H3k27ac_cds,-0.0003657364936228147,0.0004902615897991861
lamin_gene,4.975092008843163e-05,0.000701217598852272
repli_gene,0.0008354858088428397,0.0005733592535294218
nsome_gene,0.0008981624256935383,0.0009064821725749963
nsome_cds,0.0015788868719596948,0.0010403200106843106
transcription_gene,0.0003250509111965783,0.0005086631783662651
repeat_gene,8.193503753007869e-05,0.0004819684944531765
repeat_cds,0.00031698319442547974,0.001293291124208465
recomb_gene,-0.00013008108922850646,0.000196376211602777
AAA_freq,0.0021079295679650722,0.0010278113958256702
AAC_freq,0.0010599071345074984,0.001181923756609842
AAG_freq,0.00014838526383821328,0.0010172558512455156
AAT_freq,6.462848381150188e-06,0.00018244642473704687
ACA_freq,0.0003923686339317167,0.0002476363633276897
ACC_freq,-0.0001189771349629054,0.0002770416799159542
ACG_freq,0.00015372036686428503,0.0003799410636543774
ACT_freq,0.0006530079354235662,0.00041145471902753647
AGA_freq,0.004332624155004306,0.0019758885850276386
AGC_freq,-0.000144394780273982,0.0003940640332184565
AGG_freq,0.0007951905998086928,0.0011891922354698827
AGT_freq,0.004174479556362331,0.0010390569103121176
ATA_freq,0.00037432470825010666,0.00021735174481131049
ATC_freq,-0.00034595757508717464,0.0007508805034658863
ATG_freq,-0.0006801605735886285,0.0005540526723942797
ATT_freq,-0.00014899251133708712,0.00029531935926743237
CAA_freq,0.00011923738389103544,0.0009500945750485217
CAC_freq,-9.976208910478235e-06,0.00016957391815440652
CAG_freq,0.00019939405374574948,0.0006525552686521778
CAT_freq,0.0005113891437159901,0.0004304452671346894
CCA_freq,0.0018975616844178478,0.001303962658101061
CCC_freq,-3.322511315404508e-05,0.00011522677833411841
CCG_freq,-0.0002103245087259231,0.00022109627110348897
CCT_freq,0.00024580511259015837,0.0005552740561878232
CGA_freq,0.0014792549073188387,0.0006501152213358234
CGC_freq,0.0014192675293918766,0.000653775013226501
CGG_freq,-0.00019397220107698622,0.0008475690436719755
CGT_freq,0.00041466329210557704,0.0005050567252552614
CTA_freq,0.0007468710488248709,0.0010991528991120773
CTC_freq,0.000839346167942967,0.0011122939671733747
CTG_freq,0.00037250296575342957,0.00042495819300954917
CTT_freq,7.920242378502972e-05,0.0006903904299315108
GAA_freq,-3.192386851357254e-05,0.00034765968896469064
GAC_freq,-0.000164911070772511,0.00019054434117309947
GAG_freq,-0.0008491488775680511,0.0012464831397222846
GAT_freq,0.0005207147303062154,0.0005300283283436008
GCA_freq,4.3982068848824604e-05,0.0003439587342153696
GCC_freq,0.0005152928776374632,0.0002783639777771549
GCG_freq,0.001285195956599172,0.000831383746981598
GCT_freq,0.0013051483744201287,0.0006078379149765594
GGA_freq,0.0002336601626121815,0.0002469873733085048
GGC_freq,0.0009057096446084212,0.000593535370383826
GGG_freq,-0.0002858400726961752,0.00028417063117018115
GGT_freq,0.00010756955694790626,0.00019874416979950046
GTA_freq,0.0004071160731906609,0.0017534033431644681
GTC_freq,0.0004962947058861688,0.000289094001031512
GTG_freq,-0.00014777801633923947,0.00018481868863757682
GTT_freq,-0.000562050935052727,0.0003099133140535869
TAA_freq,0.00043478920921196095,0.00027418536218839834
TAC_freq,0.0020253005332934613,0.001717040129280054
TAG_freq,0.0027767259383600475,0.001627495976576277
TAT_freq,-0.0004810267687709757,0.0005036411866463981
TCA_freq,0.0002232502054882457,0.00033805513498443056
TCC_freq,-0.00017245828968746047,0.0005848846322061477
TCG_freq,0.0016112444886867473,0.0009371618154372801
TCT_freq,0.0029006044281355337,0.00176590316985432
TGA_freq,0.00010388269713315079,0.0008131855298297757
TGC_freq,0.000740625074550505,0.0008664441499815603
TGG_freq,0.004262703942988144,0.002196315644750493
TGT_freq,0.0016991652515631617,0.0007490931908357731
TTA_freq,0.002899086309388266,0.0012647718712395374
TTC_freq,-2.2077784067120466e-05,0.00024626651767104175
TTG_freq,0.002052713420386587,0.0013792918922653314
