,roc_auc,est,pca,rf__max_depth,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators
0,0.6889960832382321,0.6868213913645235,passthrough,None,5,5,1000
1,0.6802830111065405,0.687059880183564,passthrough,None,5,2,1000
2,0.6944580234714928,0.6838150276984534,passthrough,None,5,5,300
3,0.6998815685742926,0.6858107813158928,passthrough,None,5,5,1000
4,0.6840176570687244,0.6844377770062257,passthrough,20.0,5,2,1000
5,0.6884492316850839,0.687044339109737,passthrough,20.0,1,5,1000
6,0.6947435793921533,0.6850992870948063,passthrough,None,1,2,1000
7,0.6716212463936935,0.6877748837938582,passthrough,20.0,5,2,1000
8,0.6892372362163177,0.686516159960993,passthrough,None,1,2,1000
9,0.6856732262475953,0.6887060765465939,passthrough,20.0,5,2,1000
